Segment ke-,A0_(Vavg),A0_(Vrms),A1_(Vavg),A1_(Vrms),A2_(Vavg),A2_(Vrms),Klasifikasi
1,0.0027,0.0055,2.5457,2.5467,2.5357,2.5366,Normal
2,0.0032,0.0065,2.5557,2.5558,2.5391,2.5397,Normal
3,0.0027,0.005,2.5503,2.5505,2.5279,2.5283,Normal
4,0.0024,0.0051,2.5523,2.5523,2.5369,2.5374,Normal
5,0.0027,0.0055,2.556,2.556,2.5491,2.5494,Normal
6,0.0032,0.0061,2.5535,2.5535,2.5386,2.539,Normal
7,0.0042,0.0073,2.5408,2.5417,2.5166,2.518,Normal
8,0.0029,0.0056,2.5643,2.565,2.5484,2.5494,Normal
9,0.0027,0.0055,2.5589,2.5589,2.5503,2.5507,Normal
10,0.0022,0.005,2.5567,2.5567,2.5413,2.5418,Normal
11,0.0029,0.006,2.5477,2.5477,2.5257,2.5261,Normal
12,0.0032,0.0061,2.5606,2.5606,2.543,2.5433,Normal
13,0.0032,0.0059,2.5516,2.5516,2.544,2.5443,Normal
14,0.0022,0.0048,2.554,2.554,2.5425,2.5429,Normal
15,0.0032,0.0061,2.5574,2.5575,2.5337,2.5341,Normal
16,0.0027,0.005,2.5521,2.5521,2.5335,2.534,Normal
17,0.0029,0.0056,2.555,2.555,2.5452,2.5455,Normal
18,0.0208,0.0551,2.5628,2.569,2.5455,2.5532,Normal
19,0.0391,0.0587,2.5533,2.5567,2.5374,2.5406,Normal
20,0.002,0.0046,2.5371,2.5377,2.5181,2.5194,Normal
21,0.0037,0.0063,2.5535,2.5536,2.5428,2.5431,Normal
22,0.0032,0.0059,2.5565,2.5565,2.5467,2.5471,Normal
23,0.0037,0.0063,2.5501,2.5502,2.5286,2.529,Normal
24,0.0039,0.0067,2.5591,2.5592,2.5381,2.5387,Normal
25,0.0029,0.0051,2.5538,2.5538,2.5425,2.5429,Normal
26,0.0029,0.006,2.5325,2.5332,2.5237,2.5243,Normal
27,0.0022,0.005,2.5728,2.5738,2.553,2.5544,Normal
28,0.002,0.0041,2.556,2.556,2.5357,2.5361,Normal
29,0.0032,0.0065,2.5582,2.5582,2.5455,2.5459,Normal
30,0.0022,0.0052,2.5508,2.5509,2.543,2.5433,Normal
31,0.0032,0.0055,2.5574,2.5575,2.5403,2.541,Normal
32,0.0032,0.0066,2.5547,2.5548,2.5337,2.5342,Normal
33,0.0039,0.0067,2.5528,2.5528,2.5384,2.539,Normal
34,0.0027,0.0055,2.5587,2.5587,2.5516,2.552,Normal
35,0.0037,0.007,2.5486,2.5487,2.5327,2.5333,Normal
36,0.0024,0.0056,2.555,2.555,2.5325,2.5328,Normal
37,0.0032,0.0057,2.5584,2.5585,2.5423,2.5428,Normal
38,0.0391,0.1005,2.5701,2.5768,2.5569,2.5645,Normal
39,0.0613,0.0825,2.5489,2.5543,2.5406,2.5451,Normal
40,0.0039,0.0072,2.5261,2.5277,2.5056,2.5079,Normal
